entryValidBit, t0, hostName, IP Addr, First Line, t1, t2, t3, (t2 - t1), (t3 - t2)
true, Tue Mar 27 19:43:47 EDT 2012, www.ksu.edu.sa, 212.138.39.90, HTTP/1.1 403 Forbidden ( The server denied the specified Uniform Resource Locator (URL). Contact the server administrator.  ), 1332891848273, 1332891848554, 1332891849172, 281, 618
true, Tue Mar 27 19:43:47 EDT 2012, www.msu.ru, 93.180.0.18, HTTP/1.1 200 OK, 1332891849480, 1332891849481, 1332891849803, 1, 322
true, Tue Mar 27 19:43:47 EDT 2012, www.u-tokyo.ac.jp, 59.106.161.11, HTTP/1.1 302 Moved Temporarily, 1332891850286, 1332891850287, 1332891851682, 1, 1395
true, Tue Mar 27 19:43:47 EDT 2012, www.nankai.edu.cn, 202.113.16.33, HTTP/1.1 200 OK, 1332891851683, 1332891852122, 1332891852560, 439, 438
true, Tue Mar 27 19:43:47 EDT 2012, www.unisa.ac.za, 163.200.81.116, HTTP/1.1 302 Found, 1332891852560, 1332891852561, 1332891854330, 1, 1769
true, Tue Mar 27 19:43:47 EDT 2012, www.shenyang.gov.cn, 61.161.137.46, HTTP/1.1 505 HTTP Version Not Supported, 1332891854330, 1332891855203, 1332891855769, 873, 566
true, Tue Mar 27 19:43:47 EDT 2012, english.dl.gov.cn, 124.93.228.74, HTTP/1.0 404 Not Found, 1332891855770, 1332891870780, 1332891871371, 15010, 591
true, Tue Mar 27 20:14:31 EDT 2012, www.unc.edu, 152.19.240.120, HTTP/1.1 200 OK, 1332893671447, 1332893671454, 1332893671467, 7, 13
true, Tue Mar 27 20:14:31 EDT 2012, www.google.com, 74.125.227.147, HTTP/1.0 200 OK, 1332893671485, 1332893671486, 1332893671579, 1, 93
true, Tue Mar 27 20:14:31 EDT 2012, www.wikipedia.org, 208.80.154.225, HTTP/1.0 400 Bad Request, 1332893671652, 1332893671656, 1332893671770, 4, 114
true, Tue Mar 27 20:14:31 EDT 2012, www.harvard.edu, 69.172.200.24, HTTP/1.1 404 Not Found, 1332893671770, 1332893671794, 1332893671868, 24, 74
true, Tue Mar 27 20:14:31 EDT 2012, www.stanford.edu, 171.64.13.26, HTTP/1.1 200 OK, 1332893671868, 1332893671978, 1332893672148, 110, 170
true, Tue Mar 27 20:14:31 EDT 2012, www.youtube.com, 74.125.45.91, HTTP/1.0 200 OK, 1332893672316, 1332893672319, 1332893672375, 3, 56
true, Tue Mar 27 20:14:31 EDT 2012, www.facebook.com, 69.171.224.40, HTTP/1.1 400 Bad Request, 1332893672395, 1332893672396, 1332893672581, 1, 185
true, Tue Mar 27 20:14:31 EDT 2012, www.ox.ac.uk, 163.1.60.42, HTTP/1.1 404 Not Found, 1332893672581, 1332893672701, 1332893672930, 120, 229
true, Tue Mar 27 20:14:31 EDT 2012, www.cam.ac.uk, 131.111.8.46, HTTP/1.1 200 OK, 1332893672930, 1332893672931, 1332893673240, 1, 309
true, Tue Mar 27 20:14:31 EDT 2012, www.bbc.co.uk, 212.58.244.70, HTTP/1.1 404 Not Found, 1332893673473, 1332893673680, 1332893673911, 207, 231
true, Tue Mar 27 20:14:31 EDT 2012, www.unicamp.br, 143.106.10.30, HTTP/1.1 200 OK, 1332893684137, 1332893684569, 1332893684848, 432, 279
true, Tue Mar 27 20:14:31 EDT 2012, www2.planalto.gov.br, 189.9.34.12, HTTP/1.1 301 Moved Permanently, 1332893684848, 1332893684849, 1332893685246, 1, 397
true, Tue Mar 27 20:14:31 EDT 2012, www.unam.mx, 132.248.10.44, HTTP/1.1 200 OK, 1332893685246, 1332893685247, 1332893685437, 1, 190
true, Tue Mar 27 20:14:31 EDT 2012, sydney.edu.au, 129.78.5.11, HTTP/1.1 301 Moved Permanently, 1332893685605, 1332893685877, 1332893686351, 272, 474
true, Tue Mar 27 20:14:31 EDT 2012, www.unimelb.edu.au, 128.250.148.40, HTTP/1.1 200 OK, 1332893686351, 1332893686601, 1332893687098, 250, 497
true, Tue Mar 27 20:14:31 EDT 2012, www.auckland.ac.nz, 130.216.11.141, HTTP/1.1 200 OK, 1332893687098, 1332893688027, 1332893688448, 929, 421
true, Tue Mar 27 20:14:31 EDT 2012, www.alaska.edu, 137.229.114.19, HTTP/1.1 400 Bad request (missing host header)., 1332893688448, 1332893688585, 1332893688853, 137, 268
true, Tue Mar 27 20:14:31 EDT 2012, www.colorado.edu, 128.138.129.98, HTTP/1.1 301 Moved Permanently, 1332893688853, 1332893688854, 1332893689037, 1, 183
true, Tue Mar 27 20:14:31 EDT 2012, www.umn.edu, 134.84.119.7, HTTP/1.1 302 Found, 1332893689038, 1332893689081, 1332893689169, 43, 88
true, Tue Mar 27 20:14:31 EDT 2012, wustl.edu, 128.252.87.149, HTTP/1.1 200 OK, 1332893689169, 1332893689170, 1332893689271, 1, 101
true, Tue Mar 27 20:14:31 EDT 2012, www.ksu.edu.sa, 212.138.39.90, HTTP/1.1 403 Forbidden ( The server denied the specified Uniform Resource Locator (URL). Contact the server administrator.  ), 1332893689354, 1332893689534, 1332893690139, 180, 605
true, Tue Mar 27 20:14:31 EDT 2012, www.msu.ru, 93.180.0.18, HTTP/1.1 200 OK, 1332893690441, 1332893690442, 1332893690762, 1, 320
true, Tue Mar 27 20:14:31 EDT 2012, www.u-tokyo.ac.jp, 59.106.161.11, HTTP/1.1 503 Service Temporarily Unavailable, 1332893691244, 1332893691422, 1332893754932, 178, 63510
true, Tue Mar 27 20:14:31 EDT 2012, www.nankai.edu.cn, 202.113.16.33, HTTP/1.1 200 OK, 1332893754932, 1332893754933, 1332893755371, 1, 438
true, Tue Mar 27 20:14:31 EDT 2012, www.unisa.ac.za, 163.200.81.116, HTTP/1.1 302 Found, 1332893755371, 1332893755372, 1332893755977, 1, 605
true, Tue Mar 27 20:14:31 EDT 2012, www.shenyang.gov.cn, 61.161.137.46, HTTP/1.1 505 HTTP Version Not Supported, 1332893755977, 1332893755978, 1332893756544, 1, 566
true, Tue Mar 27 20:14:31 EDT 2012, english.dl.gov.cn, 124.93.228.74, HTTP/1.0 404 Not Found, 1332893756544, 1332893771554, 1332893772145, 15010, 591
true, Tue Mar 27 20:46:12 EDT 2012, www.unc.edu, 152.19.240.120, HTTP/1.1 200 OK, 1332895572221, 1332895572227, 1332895572238, 6, 11
true, Tue Mar 27 20:46:12 EDT 2012, www.google.com, 173.194.73.105, HTTP/1.0 200 OK, 1332895572255, 1332895572255, 1332895572328, 0, 73
true, Tue Mar 27 20:46:12 EDT 2012, www.wikipedia.org, 208.80.154.225, HTTP/1.0 400 Bad Request, 1332895572360, 1332895572364, 1332895572478, 4, 114
true, Tue Mar 27 20:46:12 EDT 2012, www.harvard.edu, 69.172.200.24, HTTP/1.1 404 Not Found, 1332895572479, 1332895572504, 1332895572578, 25, 74
true, Tue Mar 27 20:46:12 EDT 2012, www.stanford.edu, 171.64.13.26, HTTP/1.1 200 OK, 1332895572578, 1332895572594, 1332895572764, 16, 170
true, Tue Mar 27 20:46:12 EDT 2012, www.youtube.com, 74.125.45.93, HTTP/1.0 200 OK, 1332895572932, 1332895572942, 1332895572993, 10, 51
true, Tue Mar 27 20:46:12 EDT 2012, www.facebook.com, 69.171.228.39, HTTP/1.1 400 Bad Request, 1332895573014, 1332895573024, 1332895573209, 10, 185
true, Tue Mar 27 20:46:12 EDT 2012, www.ox.ac.uk, 163.1.60.42, HTTP/1.1 404 Not Found, 1332895573209, 1332895573331, 1332895573558, 122, 227
true, Tue Mar 27 20:46:12 EDT 2012, www.cam.ac.uk, 131.111.8.46, HTTP/1.1 200 OK, 1332895573559, 1332895573674, 1332895573947, 115, 273
true, Tue Mar 27 20:46:12 EDT 2012, www.bbc.co.uk, 212.58.244.67, HTTP/1.1 404 Not Found, 1332895574180, 1332895574389, 1332895574620, 209, 231
true, Tue Mar 27 20:46:12 EDT 2012, www.unicamp.br, 143.106.10.30, HTTP/1.1 200 OK, 1332895585969, 1332895586420, 1332895586699, 451, 279
true, Tue Mar 27 20:46:12 EDT 2012, www2.planalto.gov.br, 189.9.34.12, HTTP/1.1 301 Moved Permanently, 1332895586700, 1332895586882, 1332895587277, 182, 395
true, Tue Mar 27 20:46:12 EDT 2012, www.unam.mx, 132.248.10.44, HTTP/1.1 200 OK, 1332895587277, 1332895588254, 1332895588445, 977, 191
true, Tue Mar 27 20:46:12 EDT 2012, sydney.edu.au, 129.78.5.11, HTTP/1.1 301 Moved Permanently, 1332895588616, 1332895588856, 1332895589328, 240, 472
true, Tue Mar 27 20:46:12 EDT 2012, www.unimelb.edu.au, 128.250.148.40, HTTP/1.1 200 OK, 1332895589328, 1332895589579, 1332895590076, 251, 497
true, Tue Mar 27 20:46:12 EDT 2012, www.auckland.ac.nz, 130.216.11.141, HTTP/1.1 200 OK, 1332895590076, 1332895592307, 1332895592726, 2231, 419
true, Tue Mar 27 20:46:12 EDT 2012, www.alaska.edu, 137.229.114.19, HTTP/1.1 400 Bad request (missing host header)., 1332895592726, 1332895592846, 1332895593115, 120, 269
true, Tue Mar 27 20:46:12 EDT 2012, www.colorado.edu, 128.138.129.98, HTTP/1.1 301 Moved Permanently, 1332895593115, 1332895593177, 1332895593347, 62, 170
true, Tue Mar 27 20:46:12 EDT 2012, www.umn.edu, 134.84.119.207, HTTP/1.1 302 Found, 1332895593347, 1332895593417, 1332895593505, 70, 88
true, Tue Mar 27 20:46:12 EDT 2012, wustl.edu, 128.252.87.149, HTTP/1.1 200 OK, 1332895593505, 1332895593549, 1332895593637, 44, 88
true, Tue Mar 27 20:46:12 EDT 2012, www.ksu.edu.sa, 212.138.39.90, HTTP/1.1 403 Forbidden ( The server denied the specified Uniform Resource Locator (URL). Contact the server administrator.  ), 1332895593719, 1332895593978, 1332895594412, 259, 434
true, Tue Mar 27 20:46:12 EDT 2012, www.msu.ru, 93.180.0.18, HTTP/1.1 200 OK, 1332895594629, 1332895594724, 1332895595046, 95, 322
true, Tue Mar 27 20:46:12 EDT 2012, www.u-tokyo.ac.jp, 59.106.161.11, HTTP/1.1 302 Moved Temporarily, 1332895595528, 1332895595736, 1332895596196, 208, 460
true, Tue Mar 27 20:46:12 EDT 2012, www.nankai.edu.cn, 202.113.16.33, HTTP/1.1 200 OK, 1332895596196, 1332895596588, 1332895597026, 392, 438
true, Tue Mar 27 20:46:12 EDT 2012, www.unisa.ac.za, 163.200.81.116, HTTP/1.1 302 Found, 1332895597027, 1332895597407, 1332895598014, 380, 607
true, Tue Mar 27 20:46:12 EDT 2012, www.shenyang.gov.cn, 61.161.137.46, HTTP/1.1 505 HTTP Version Not Supported, 1332895598014, 1332895598694, 1332895602260, 680, 3566
true, Tue Mar 27 20:46:12 EDT 2012, english.dl.gov.cn, 124.93.228.74, HTTP/1.0 404 Not Found, 1332895602260, 1332895617269, 1332895617859, 15009, 590
true, Tue Mar 27 21:16:57 EDT 2012, www.unc.edu, 152.19.240.120, HTTP/1.1 200 OK, 1332897417930, 1332897417936, 1332897417946, 6, 10
true, Tue Mar 27 21:16:57 EDT 2012, www.google.com, 74.125.45.104, HTTP/1.0 200 OK, 1332897417962, 1332897417965, 1332897418014, 3, 49
true, Tue Mar 27 21:16:57 EDT 2012, www.wikipedia.org, 208.80.154.225, HTTP/1.0 400 Bad Request, 1332897418035, 1332897418037, 1332897418151, 2, 114
true, Tue Mar 27 21:16:57 EDT 2012, www.harvard.edu, 69.172.200.24, HTTP/1.1 404 Not Found, 1332897418152, 1332897418180, 1332897418252, 28, 72
true, Tue Mar 27 21:16:57 EDT 2012, www.stanford.edu, 171.64.13.26, HTTP/1.1 200 OK, 1332897418253, 1332897418280, 1332897418451, 27, 171
true, Tue Mar 27 21:16:57 EDT 2012, www.youtube.com, 74.125.45.93, HTTP/1.0 200 OK, 1332897418621, 1332897418622, 1332897418672, 1, 50
true, Tue Mar 27 21:16:57 EDT 2012, www.facebook.com, 69.171.234.16, HTTP/1.1 400 Bad Request, 1332897418692, 1332897418694, 1332897418880, 2, 186
true, Tue Mar 27 21:16:57 EDT 2012, www.ox.ac.uk, 163.1.60.42, HTTP/1.1 404 Not Found, 1332897418880, 1332897419000, 1332897419227, 120, 227
true, Tue Mar 27 21:16:57 EDT 2012, www.cam.ac.uk, 131.111.8.46, HTTP/1.1 200 OK, 1332897419228, 1332897419254, 1332897419950, 26, 696
true, Tue Mar 27 21:16:57 EDT 2012, www.bbc.co.uk, 212.58.244.68, HTTP/1.1 404 Not Found, 1332897420185, 1332897420283, 1332897420517, 98, 234
true, Tue Mar 27 21:16:57 EDT 2012, www.unicamp.br, 143.106.10.30, HTTP/1.1 200 OK, 1332897432998, 1332897434233, 1332897434512, 1235, 279
true, Tue Mar 27 21:16:57 EDT 2012, www2.planalto.gov.br, 189.9.34.12, HTTP/1.1 301 Moved Permanently, 1332897434512, 1332897434887, 1332897435269, 375, 382
true, Tue Mar 27 21:16:57 EDT 2012, www.unam.mx, 132.248.10.44, HTTP/1.1 200 OK, 1332897435269, 1332897436352, 1332897436542, 1083, 190
true, Tue Mar 27 21:16:57 EDT 2012, sydney.edu.au, 129.78.5.11, HTTP/1.1 301 Moved Permanently, 1332897436710, 1332897437140, 1332897437612, 430, 472
true, Tue Mar 27 21:16:57 EDT 2012, www.unimelb.edu.au, 128.250.148.40, HTTP/1.1 200 OK, 1332897437612, 1332897437863, 1332897438361, 251, 498
true, Tue Mar 27 21:16:57 EDT 2012, www.auckland.ac.nz, 130.216.11.141, HTTP/1.1 200 OK, 1332897438363, 1332897439002, 1332897439422, 639, 420
true, Tue Mar 27 21:16:57 EDT 2012, www.alaska.edu, 137.229.114.19, HTTP/1.1 400 Bad request (missing host header)., 1332897439422, 1332897439537, 1332897439804, 115, 267
true, Tue Mar 27 21:16:57 EDT 2012, www.colorado.edu, 128.138.129.98, HTTP/1.1 301 Moved Permanently, 1332897439804, 1332897440077, 1332897440256, 273, 179
true, Tue Mar 27 21:16:57 EDT 2012, www.umn.edu, 134.84.119.207, HTTP/1.1 302 Found, 1332897440256, 1332897440303, 1332897440390, 47, 87
true, Tue Mar 27 21:16:57 EDT 2012, wustl.edu, 128.252.87.149, HTTP/1.1 200 OK, 1332897440391, 1332897440393, 1332897440480, 2, 87
true, Tue Mar 27 21:16:57 EDT 2012, www.ksu.edu.sa, 212.138.39.90, HTTP/1.1 403 Forbidden ( The server denied the specified Uniform Resource Locator (URL). Contact the server administrator.  ), 1332897440562, 1332897440767, 1332897441199, 205, 432
true, Tue Mar 27 21:16:57 EDT 2012, www.msu.ru, 93.180.0.18, HTTP/1.1 200 OK, 1332897441416, 1332897441733, 1332897442055, 317, 322
true, Tue Mar 27 21:16:57 EDT 2012, www.u-tokyo.ac.jp, 59.106.161.11, HTTP/1.1 302 Moved Temporarily, 1332897442537, 1332897442748, 1332897443128, 211, 380
true, Tue Mar 27 21:16:57 EDT 2012, www.nankai.edu.cn, 202.113.16.33, HTTP/1.1 200 OK, 1332897443128, 1332897443529, 1332897443967, 401, 438
true, Tue Mar 27 21:16:57 EDT 2012, www.unisa.ac.za, 163.200.81.116, HTTP/1.1 302 Found, 1332897443967, 1332897443968, 1332897444574, 1, 606
true, Tue Mar 27 21:16:57 EDT 2012, www.shenyang.gov.cn, 61.161.137.46, HTTP/1.1 505 HTTP Version Not Supported, 1332897444574, 1332897445763, 1332897446329, 1189, 566
true, Tue Mar 27 21:16:57 EDT 2012, english.dl.gov.cn, 124.93.228.74, HTTP/1.0 404 Not Found, 1332897446329, 1332897461336, 1332897461933, 15007, 597
true, Tue Mar 27 21:47:42 EDT 2012, www.unc.edu, 152.19.240.120, HTTP/1.1 200 OK, 1332899262005, 1332899262011, 1332899262022, 6, 11
true, Tue Mar 27 21:47:42 EDT 2012, www.google.com, 74.125.47.106, HTTP/1.0 200 OK, 1332899262038, 1332899262039, 1332899262090, 1, 51
true, Tue Mar 27 21:47:42 EDT 2012, www.wikipedia.org, 208.80.154.225, HTTP/1.0 400 Bad Request, 1332899262110, 1332899262144, 1332899262258, 34, 114
true, Tue Mar 27 21:47:42 EDT 2012, www.harvard.edu, 69.172.200.24, HTTP/1.1 404 Not Found, 1332899262259, 1332899262289, 1332899262362, 30, 73
true, Tue Mar 27 21:47:42 EDT 2012, www.stanford.edu, 171.64.13.26, HTTP/1.1 200 OK, 1332899262362, 1332899262538, 1332899262709, 176, 171
true, Tue Mar 27 21:47:42 EDT 2012, www.youtube.com, 74.125.45.136, HTTP/1.0 200 OK, 1332899262877, 1332899262880, 1332899262930, 3, 50
true, Tue Mar 27 21:47:42 EDT 2012, www.facebook.com, 66.220.146.94, HTTP/1.0 400 Bad Request, 1332899262950, 1332899262952, 1332899263160, 2, 208
true, Tue Mar 27 21:47:42 EDT 2012, www.ox.ac.uk, 163.1.60.42, HTTP/1.1 404 Not Found, 1332899263161, 1332899263257, 1332899263483, 96, 226
true, Tue Mar 27 21:47:42 EDT 2012, www.cam.ac.uk, 131.111.8.46, HTTP/1.1 200 OK, 1332899263483, 1332899263601, 1332899263879, 118, 278
true, Tue Mar 27 21:47:42 EDT 2012, www.bbc.co.uk, 212.58.246.93, HTTP/1.1 404 Not Found, 1332899264112, 1332899264424, 1332899264656, 312, 232
true, Tue Mar 27 21:47:42 EDT 2012, www.unicamp.br, 143.106.10.30, HTTP/1.1 200 OK, 1332899277512, 1332899277947, 1332899278227, 435, 280
true, Tue Mar 27 21:47:42 EDT 2012, www2.planalto.gov.br, 189.9.34.12, HTTP/1.1 301 Moved Permanently, 1332899278227, 1332899278228, 1332899278604, 1, 376
true, Tue Mar 27 21:47:42 EDT 2012, www.unam.mx, 132.248.10.44, HTTP/1.1 200 OK, 1332899278604, 1332899278607, 1332899278798, 3, 191
true, Tue Mar 27 21:47:42 EDT 2012, sydney.edu.au, 129.78.5.11, HTTP/1.1 301 Moved Permanently, 1332899278973, 1332899279248, 1332899279720, 275, 472
true, Tue Mar 27 21:47:42 EDT 2012, www.unimelb.edu.au, 128.250.148.40, HTTP/1.1 200 OK, 1332899279721, 1332899279974, 1332899280471, 253, 497
true, Tue Mar 27 21:47:42 EDT 2012, www.auckland.ac.nz, 130.216.11.141, HTTP/1.1 200 OK, 1332899280471, 1332899281305, 1332899281728, 834, 423
true, Tue Mar 27 21:47:42 EDT 2012, www.alaska.edu, 137.229.114.19, HTTP/1.1 400 Bad request (missing host header)., 1332899281729, 1332899281879, 1332899282146, 150, 267
true, Tue Mar 27 21:47:42 EDT 2012, www.colorado.edu, 128.138.129.98, HTTP/1.1 301 Moved Permanently, 1332899282146, 1332899282147, 1332899282322, 1, 175
true, Tue Mar 27 21:47:42 EDT 2012, www.umn.edu, 134.84.119.7, HTTP/1.1 302 Found, 1332899282322, 1332899282407, 1332899282495, 85, 88
true, Tue Mar 27 21:47:42 EDT 2012, wustl.edu, 128.252.87.149, HTTP/1.1 200 OK, 1332899282495, 1332899282545, 1332899282643, 50, 98
true, Tue Mar 27 21:47:42 EDT 2012, www.ksu.edu.sa, 212.138.39.90, HTTP/1.1 403 Forbidden ( The server denied the specified Uniform Resource Locator (URL). Contact the server administrator.  ), 1332899282727, 1332899282982, 1332899283417, 255, 435
true, Tue Mar 27 21:47:42 EDT 2012, www.msu.ru, 93.180.0.18, HTTP/1.1 200 OK, 1332899283635, 1332899283636, 1332899283958, 1, 322
true, Tue Mar 27 21:47:42 EDT 2012, www.u-tokyo.ac.jp, 59.106.161.11, HTTP/1.1 302 Moved Temporarily, 1332899284440, 1332899284441, 1332899284823, 1, 382
true, Tue Mar 27 21:47:42 EDT 2012, www.nankai.edu.cn, 202.113.16.33, HTTP/1.1 200 OK, 1332899284823, 1332899285045, 1332899285483, 222, 438
true, Tue Mar 27 21:47:42 EDT 2012, www.unisa.ac.za, 163.200.81.116, HTTP/1.1 302 Found, 1332899285483, 1332899286109, 1332899286716, 626, 607
true, Tue Mar 27 21:47:42 EDT 2012, www.shenyang.gov.cn, 61.161.137.46, HTTP/1.1 505 HTTP Version Not Supported, 1332899286717, 1332899286717, 1332899287284, 0, 567
